internship_id,internship_title,skills_required,job_description,responsibilities,duration_months,stipend_inr_month,company_name,location,capacity,category,status
INT001,Data Scientist Intern,"Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization","Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,3,5000,Infosys,Bangalore,15,IT,Open
INT002,Full Stack Intern,"JavaScript, React, Node.js, MongoDB, HTML, CSS","Develop scalable full-stack applications by working on both front-end and back-end technologies. Ensure responsiveness, performance, and seamless database integration while collaborating with design and product teams.",Build responsive UI with React; Develop server-side logic with Node.js; Integrate MongoDB for data storage,6,5000,Flipkart,Gurgaon,12,IT,Closed
INT004,App Development Intern,"Flutter, Dart, Android, iOS, Kotlin",Work on cross-platform and native mobile applications ensuring high performance and user-friendly experiences. Collaborate with designers to deliver engaging apps with API integrations.,Develop Android/iOS apps; Test app performance; Integrate REST APIs and Firebase services,4,5000,Paytm,Gurgaon,5,IT,Closed
INT003,Cybersecurity Intern,"Network Security, Ethical Hacking, Penetration Testing, Cryptography, Linux",Assist in securing systems and networks through vulnerability assessments and penetration testing. Implement defensive measures and support incident response to safeguard sensitive information.,Conduct penetration tests; Monitor system logs for anomalies; Assist in implementing encryption and firewalls,3,5000,TCS,Hyderabad,5,IT,Closed
INT005,Process Engineering Intern,"Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel","Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,4,5000,Reliance Industries Ltd.,Jamnagar,10,Chemical Industry,Closed
INT006,R&D and Quality Control Intern,"Laboratory Testing, Analytical Techniques (HPLC, GC, Spectroscopy), Research Skills, Documentation, Problem-Solving",Join the R&D and quality control team to assist in developing new chemical formulations and ensuring product quality through laboratory testing.,Conduct lab experiments and chemical testing; Analyze results using modern analytical instruments; Assist in developing new formulations and prototypes; Prepare quality reports and maintain lab documentation,3,5000,BASF India,Baroda,8,Chemical Industry,Closed
INT007,Compliance & Regulatory Intern,"Regulatory Frameworks (RBI/SEBI), Legal Drafting, Risk & Compliance Knowledge, Excel, Documentation",Support the compliance team in ensuring that banking operations follow legal and regulatory requirements. Assist in audits and preparing compliance reports.,Monitor regulatory updates and prepare compliance summaries; Assist in internal audits and reporting; Maintain documentation for regulatory bodies,3,5000,ICICI Bank,Hyderabad,10,Banking & Financial Services,Open
INT008,Corporate Banking & Treasury Intern,"Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)","Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,3,5000,State Bank of India (SBI),Mumbai,10,Banking & Financial Services,Closed
INT009,Automotive Design Intern,"CAD (AutoCAD, CATIA, SolidWorks), Mechanical Design, Prototyping, Material Science","Support the design team in creating and optimizing vehicle components. Assist in simulation, prototyping, and product development.",Work on CAD models for automotive parts; Support prototype testing and documentation; Assist in design improvements for efficiency,5,5000,Tata Motors,Noida,12,Automotive,Open
INT010,Electric Vehicle R&D Intern,"Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics","Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,6,5000,Mahindra Electric,Pune,8,Automotive,Closed
