"""InternshipID""","""CandidateID""","""Rank""","""Score""","""Social_Category""","""Location_Category""","""Technical_Skills""","""Soft_Skills""","""Projects""","""Skills_Required""","""Responsibilities""","""Job_Description""","""Location""","""Category""",created_at,"""Past_Participation"""
INT001,C2283,1,0.8101005935668947,GEN,Urban,"Feature Engineering, Data Visualization, Python, PowerBI, Machine Learning, C++, Matplotlib, SQL","Analytical Thinking, Collaboration, Problem-Solving, Creativity","Predictive Sales Model, Fraud Detection Model, PowerBI Dashboard","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862056+00,f
INT001,C2547,2,0.7960202550888063,SC,Urban,"Machine Learning, Data Visualization, PowerBI, EDA, Python, Web Development, Cybersecurity","Problem-Solving, Analytical Thinking, Collaboration, Communication","House Price Prediction, Customer Churn Prediction, Predictive Sales Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862261+00,f
INT001,C2454,3,0.763509454727173,OBC,Urban,"Data Visualization, PowerBI, Python, Feature Engineering, Machine Learning, SQL, R","Analytical Thinking, Collaboration, Problem-Solving, Communication","Customer Churn Prediction, EDA on Retail Data, House Price Prediction","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862315+00,f
INT001,C2351,4,0.7328916501998901,OBC,Urban,"Feature Engineering, Machine Learning, PowerBI, NumPy, Linux, Cybersecurity","Problem-Solving, Analytical Thinking, Creativity","PowerBI Dashboard, Fraud Detection Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.86236+00,f
INT001,C2280,5,0.7299111080169679,ST,Urban,"EDA, Machine Learning, Feature Engineering, PowerBI, Python, Networking, Linux, R","Analytical Thinking, Critical Thinking, Problem-Solving, Adaptability","Predictive Sales Model, Fraud Detection Model, House Price Prediction","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862403+00,f
INT001,C2384,6,0.7032081222534181,EWS,Urban,"Python, Machine Learning, Feature Engineering, Cybersecurity, Pandas, Networking, C++","Critical Thinking, Analytical Thinking, Communication","House Price Prediction, Fraud Detection Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862446+00,f
INT001,C2496,7,0.6850309562683106,OBC,Urban,"EDA, Feature Engineering, C++, Matplotlib, Cybersecurity, Hadoop","Problem-Solving, Creativity, Leadership","Predictive Sales Model, Blog Website","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862487+00,f
INT001,C2344,8,0.6660417890548707,ST,Rural,"Data Visualization, Feature Engineering, PowerBI, Python, EDA, Docker, NumPy","Collaboration, Analytical Thinking, Problem-Solving, Leadership, Teamwork","EDA on Retail Data, House Price Prediction, Customer Churn Prediction","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862529+00,f
INT001,C2278,9,0.6622264242172242,OBC,Urban,"PowerBI, Feature Engineering, Data Visualization, Python, EDA, DevOps, Docker, SQL","Critical Thinking, Problem-Solving, Analytical Thinking, Adaptability","Customer Churn Prediction, Fraud Detection Model, Predictive Sales Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862571+00,f
INT001,C2324,10,0.6489068984985351,SC,Rural,"Data Visualization, EDA, Feature Engineering, Networking, Pandas, R","Problem-Solving, Collaboration, Creativity","EDA on Retail Data, Fraud Detection Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862613+00,f
